Started run at: 1713797821.54 seconds
Run folder: data/imagenet_hierarchy_k_0.5_256_22_04/v2-0_1trials_500_50_10_1keep_50_100_500_1000samples_256
Setting up dataset and prompts

Loading pretrained models...

Loading noise...

Tokenizing text prompts and creating embeddings...

Load subset to evaluate
Inference time: 92.47 seconds 

Inference time: 147.70 seconds 

Inference time: 91.62 seconds 

Inference time: 189.83 seconds 

Inference time: 127.71 seconds 

Inference time: 136.93 seconds 

Inference time: 89.67 seconds 

Inference time: 110.01 seconds 

Inference time: 162.88 seconds 

Inference time: 176.20 seconds 

Inference time: 85.85 seconds 

Inference time: 177.13 seconds 

Inference time: 149.23 seconds 

Inference time: 78.31 seconds 

Inference time: 137.15 seconds 

Inference time: 142.24 seconds 

Inference time: 203.86 seconds 

Inference time: 135.55 seconds 

Inference time: 66.14 seconds 

Inference time: 97.58 seconds 

Inference time: 142.26 seconds 

Inference time: 73.87 seconds 

Inference time: 137.50 seconds 

Inference time: 117.75 seconds 

Inference time: 200.13 seconds 

Inference time: 154.36 seconds 

Inference time: 151.53 seconds 

Inference time: 124.85 seconds 

Inference time: 75.45 seconds 

Inference time: 139.56 seconds 

Inference time: 166.27 seconds 

Inference time: 150.84 seconds 

Inference time: 110.35 seconds 

Inference time: 82.43 seconds 

Inference time: 153.58 seconds 

Inference time: 141.18 seconds 

Inference time: 133.59 seconds 

Inference time: 148.60 seconds 

Inference time: 135.74 seconds 

Inference time: 97.02 seconds 

Inference time: 85.44 seconds 

Inference time: 163.16 seconds 

Inference time: 139.49 seconds 

Inference time: 139.46 seconds 

Inference time: 111.11 seconds 

Inference time: 118.32 seconds 

Inference time: 89.63 seconds 

Inference time: 119.49 seconds 

Inference time: 159.34 seconds 

Inference time: 209.80 seconds 

Inference time: 166.28 seconds 

Inference time: 142.86 seconds 

Inference time: 156.50 seconds 

Inference time: 103.45 seconds 

Inference time: 169.01 seconds 

Inference time: 141.20 seconds 

Inference time: 138.06 seconds 

Inference time: 142.22 seconds 

Inference time: 162.50 seconds 

Inference time: 142.80 seconds 

Inference time: 130.17 seconds 

Inference time: 107.67 seconds 

Inference time: 76.85 seconds 

Inference time: 130.07 seconds 

Inference time: 123.78 seconds 

Inference time: 144.57 seconds 

Inference time: 144.21 seconds 

Inference time: 165.99 seconds 

Inference time: 104.49 seconds 

Inference time: 150.13 seconds 

Inference time: 181.16 seconds 

Inference time: 87.29 seconds 

Inference time: 140.49 seconds 

Inference time: 126.25 seconds 

Inference time: 170.87 seconds 

Inference time: 131.44 seconds 

Inference time: 74.54 seconds 

Inference time: 86.41 seconds 

Inference time: 130.30 seconds 

Inference time: 147.45 seconds 

Inference time: 116.36 seconds 

Inference time: 140.10 seconds 

Inference time: 132.76 seconds 

Inference time: 161.38 seconds 

Inference time: 121.25 seconds 

Inference time: 137.47 seconds 

Inference time: 145.58 seconds 

Inference time: 147.38 seconds 

Inference time: 167.13 seconds 

Inference time: 139.24 seconds 

Inference time: 108.34 seconds 

Inference time: 132.94 seconds 

Inference time: 104.18 seconds 

Inference time: 127.98 seconds 

Inference time: 126.53 seconds 

Inference time: 182.22 seconds 

Inference time: 173.02 seconds 

Inference time: 136.58 seconds 

Inference time: 165.31 seconds 

Inference time: 165.39 seconds 

Inference time: 166.19 seconds 

Inference time: 108.42 seconds 

Inference time: 139.89 seconds 

Inference time: 75.30 seconds 

Inference time: 124.39 seconds 

Inference time: 141.16 seconds 

Inference time: 121.38 seconds 

Inference time: 144.28 seconds 

Inference time: 131.17 seconds 

Inference time: 132.02 seconds 

Inference time: 143.94 seconds 

Inference time: 72.73 seconds 

Inference time: 149.91 seconds 

Inference time: 133.79 seconds 

Inference time: 107.89 seconds 

Inference time: 85.75 seconds 

Inference time: 202.33 seconds 

Inference time: 126.08 seconds 

Inference time: 163.46 seconds 

Inference time: 117.37 seconds 

Inference time: 135.53 seconds 

Inference time: 128.45 seconds 

Inference time: 174.99 seconds 

Inference time: 69.06 seconds 

Inference time: 131.10 seconds 

Inference time: 135.54 seconds 

Inference time: 119.29 seconds 

Inference time: 124.51 seconds 

Inference time: 151.66 seconds 

Inference time: 171.73 seconds 

Inference time: 156.63 seconds 

Inference time: 144.18 seconds 

Inference time: 59.85 seconds 

Inference time: 153.95 seconds 

Inference time: 154.97 seconds 

Inference time: 180.59 seconds 

Inference time: 161.05 seconds 

Inference time: 155.85 seconds 

Inference time: 154.73 seconds 

Inference time: 163.04 seconds 

Inference time: 83.70 seconds 

Inference time: 131.19 seconds 

Inference time: 128.16 seconds 

Inference time: 111.49 seconds 

Inference time: 134.54 seconds 

Inference time: 110.82 seconds 

Inference time: 144.69 seconds 

Inference time: 124.48 seconds 

Inference time: 155.54 seconds 

Inference time: 136.50 seconds 

Inference time: 90.91 seconds 

Inference time: 171.68 seconds 

Inference time: 163.52 seconds 

Inference time: 105.74 seconds 

Inference time: 168.71 seconds 

Inference time: 170.03 seconds 

Inference time: 144.02 seconds 

Inference time: 151.60 seconds 

Inference time: 137.78 seconds 

Inference time: 111.96 seconds 

Inference time: 107.91 seconds 

Inference time: 76.26 seconds 

Inference time: 140.25 seconds 

Inference time: 166.79 seconds 

Inference time: 122.93 seconds 

Inference time: 167.61 seconds 

Inference time: 158.11 seconds 

Inference time: 155.74 seconds 

Inference time: 166.38 seconds 

Inference time: 137.37 seconds 

Inference time: 179.88 seconds 

Inference time: 125.41 seconds 

Inference time: 133.24 seconds 

Inference time: 141.97 seconds 

Inference time: 135.00 seconds 

Inference time: 72.32 seconds 

Inference time: 85.50 seconds 

Inference time: 112.11 seconds 

Inference time: 133.02 seconds 

Inference time: 141.00 seconds 

Inference time: 170.54 seconds 

Inference time: 154.55 seconds 

Inference time: 146.15 seconds 

Inference time: 83.58 seconds 

Inference time: 128.59 seconds 

Inference time: 152.10 seconds 

Inference time: 141.32 seconds 

Inference time: 109.70 seconds 

Inference time: 145.49 seconds 

Inference time: 154.40 seconds 

Inference time: 102.66 seconds 

Inference time: 142.59 seconds 

Inference time: 139.07 seconds 

Inference time: 131.39 seconds 

Inference time: 129.18 seconds 

Inference time: 103.75 seconds 

Inference time: 106.19 seconds 

